customer_id,tenure_months,monthly_charge,support_tickets,contract_type,age,days_since_last_cancellation_request,churned
C00224,52,78.82,1,one-year,61,-1,0
C00225,22,,1,month-to-month,58,-1,0
C00226,58,,4,month-to-month,62,-1,0
C00227,42,74.7,1,two-year,35,20,1
C00228,39,60.21,0,one-year,25,-1,0
C00229,13,72.31,2,month-to-month,57,20,1
C00230,33,96.32,2,month-to-month,76,-1,0
C00231,61,75.17,2,month-to-month,26,-1,0
C00232,2,29.53,0,month-to-month,22,26,1
C00233,54,74.08,1,month-to-month,61,-1,0
C00234,35,89.66,2,month-to-month,44,-1,0
C00235,52,60.57,0,two-year,73,-1,0
C00236,48,84.91,3,month-to-month,47,-1,0
C00237,31,51.2,3,two-year,50,-1,0
C00238,22,35.29,0,month-to-month,21,-1,0
C00239,45,67.82,4,month-to-month,77,13,1
C00240,10,29.87,0,month-to-month,38,12,1
C00241,42,60.2,0,month-to-month,45,-1,0
C00242,7,90.74,1,one-year,57,-1,0
C00243,47,26.8,1,two-year,71,-1,0
C00244,45,39.41,3,one-year,67,-1,0
C00245,6,44.36,1,one-year,65,-1,0
C00246,54,63.73,2,two-year,24,-1,0
C00247,30,57.69,0,one-year,23,-1,0
C00248,56,92.98,5,one-year,69,19,1
C00249,3,84.09,2,one-year,74,13,1
C00250,13,74.91,0,month-to-month,56,-1,0
C00251,36,67.91,2,month-to-month,74,-1,0
C00252,14,72.86,1,one-year,37,-1,0
C00253,24,47.76,2,one-year,39,-1,0
C00254,47,82.14,2,month-to-month,28,-1,0
C00255,11,42.76,1,two-year,67,-1,0
C00256,49,81.71,0,month-to-month,59,-1,0
C00257,8,88.72,2,one-year,31,22,1
C00258,13,69.22,1,two-year,79,9,1
C00259,42,61.48,2,month-to-month,19,21,1
C00260,57,73.01,2,two-year,65,-1,0
C00261,13,15.0,1,two-year,30,14,1
C00262,22,71.05,2,one-year,66,26,1
C00263,66,62.73,0,two-year,48,-1,0
C00264,71,63.99,2,one-year,32,-1,0
C00265,42,79.13,2,month-to-month,21,-1,0
C00266,32,63.5,3,one-year,56,21,1
C00267,25,42.2,1,month-to-month,27,-1,0
C00268,44,62.17,3,month-to-month,45,-1,0
C00269,42,66.35,1,month-to-month,76,-1,0
C00270,21,67.3,1,month-to-month,73,24,1
C00271,2,68.24,2,two-year,48,3,1
C00272,11,85.79,3,two-year,63,-1,0
C00273,69,43.28,0,two-year,69,-1,0
C00274,30,68.51,1,month-to-month,55,18,1
C00275,35,90.8,1,one-year,30,12,1
C00276,34,30.31,2,one-year,68,2,1
C00277,56,68.59,2,month-to-month,23,-1,0
C00278,5,53.29,2,one-year,50,-1,0
C00279,6,57.59,3,month-to-month,66,18,1
C00280,20,46.9,0,two-year,53,1,1
C00281,35,,0,month-to-month,39,3,1
C00282,48,101.83,3,two-year,43,8,1
C00283,35,39.71,3,two-year,46,-1,0
C00284,32,41.61,1,one-year,64,-1,0
C00285,67,38.96,0,month-to-month,79,-1,0
C00286,12,99.55,2,month-to-month,66,22,1
C00287,41,55.75,2,two-year,37,-1,0
C00288,39,64.49,2,month-to-month,24,28,1
C00289,34,,2,month-to-month,47,26,1
C00290,58,46.11,2,two-year,71,-1,0
C00291,19,60.3,3,one-year,57,0,1
C00292,68,114.16,2,one-year,37,21,1
C00293,24,92.84,1,month-to-month,23,27,1
C00294,39,47.94,2,month-to-month,33,-1,0
C00295,37,77.95,2,two-year,62,25,1
C00296,61,48.37,1,month-to-month,59,-1,0
C00297,32,29.47,1,month-to-month,46,-1,0
C00298,21,85.39,3,month-to-month,38,-1,0
C00299,2,88.2,2,one-year,28,-1,0
C00300,26,85.92,4,month-to-month,78,8,1
C00301,59,55.6,4,two-year,44,8,1
C00302,1,,1,month-to-month,65,-1,0
C00303,64,80.0,0,month-to-month,46,-1,0
C00304,39,72.83,4,two-year,53,-1,0
C00305,10,57.13,2,two-year,57,-1,0
C00306,22,32.62,2,one-year,40,21,1
C00307,40,67.28,1,two-year,76,14,1
C00308,23,86.58,2,month-to-month,46,-1,0
C00309,8,41.05,0,month-to-month,65,-1,0
C00310,48,77.78,4,month-to-month,74,-1,0
C00311,48,71.63,2,month-to-month,41,-1,0
C00312,9,80.0,2,one-year,32,-1,0
C00313,20,82.44,2,two-year,78,-1,0
C00314,18,51.11,2,month-to-month,66,-1,0
C00315,47,32.66,2,month-to-month,67,-1,0
C00316,52,,0,two-year,76,22,1
C00317,52,82.78,1,one-year,19,-1,0
C00318,67,54.16,0,month-to-month,76,-1,0
C00319,55,51.12,5,month-to-month,25,-1,0
C00320,23,28.57,3,month-to-month,27,21,1
C00321,8,100.05,1,month-to-month,31,3,1
C00322,44,81.51,1,month-to-month,25,-1,0
C00323,66,80.4,2,month-to-month,23,-1,0
C00324,70,84.35,0,month-to-month,25,-1,0
C00325,17,76.53,1,month-to-month,48,7,1
C00326,17,60.11,2,month-to-month,41,19,1
C00327,3,61.72,1,month-to-month,39,24,1
C00328,11,56.45,0,month-to-month,28,23,1
C00329,40,117.69,5,two-year,78,-1,0
C00330,39,76.12,2,one-year,38,-1,0
C00331,27,55.72,3,month-to-month,47,-1,0
C00332,23,74.31,1,month-to-month,26,27,1
C00333,59,44.78,2,one-year,31,26,1
C00334,33,95.09,0,month-to-month,32,-1,0
C00335,58,,1,one-year,78,-1,0
C00336,69,75.02,2,two-year,28,8,1
C00337,23,86.32,1,month-to-month,49,-1,0
C00338,15,72.7,3,month-to-month,51,18,1
C00339,68,66.89,2,month-to-month,22,-1,0
C00340,46,65.22,2,one-year,39,-1,0
C00341,21,63.87,1,month-to-month,unknown,12,1
C00342,45,53.47,2,one-year,28,-1,0
C00343,37,56.01,1,month-to-month,59,-1,0
C00344,65,94.59,4,one-year,53,-1,0
C00345,19,62.83,1,one-year,48,4,1
C00346,71,49.28,0,month-to-month,31,-1,0
C00347,67,54.67,2,two-year,56,-1,0
C00348,13,87.01,0,two-year,74,21,1
C00349,12,78.51,1,month-to-month,70,-1,0
C00350,38,76.21,1,two-year,28,-1,0
C00351,4,59.85,0,two-year,60,2,1
C00352,22,76.47,2,month-to-month,33,1,1
C00353,31,52.13,2,one-year,71,-1,0
C00354,69,59.81,3,one-year,47,25,1
C00355,71,84.4,3,one-year,64,-1,0
C00356,11,82.49,2,two-year,51,-1,0
C00357,64,45.36,2,month-to-month,59,27,1
C00358,7,47.89,1,month-to-month,75,21,1
C00359,54,67.17,1,month-to-month,26,-1,0
C00360,61,99.52,4,one-year,74,-1,0
C00361,64,26.69,4,month-to-month,47,-1,0
C00362,16,70.57,0,month-to-month,26,-1,0
C00363,64,37.48,1,month-to-month,44,-1,0
C00364,9,52.31,0,one-year,21,-1,0
C00365,37,57.71,1,month-to-month,51,5,1
C00366,34,56.59,1,month-to-month,47,25,1
C00367,23,54.32,2,month-to-month,42,-1,0
C00368,2,65.14,1,month-to-month,45,-1,0
C00369,55,54.29,2,month-to-month,56,10,1
C00370,24,35.75,2,month-to-month,69,-1,0
C00371,47,80.6,3,one-year,42,23,1
C00372,30,80.06,1,month-to-month,19,-1,0
C00373,27,,0,month-to-month,52,-1,0
C00374,63,34.19,2,one-year,76,-1,0
C00375,7,70.98,1,month-to-month,42,7,1
C00376,53,78.52,1,month-to-month,25,-1,0
C00377,54,44.38,0,month-to-month,73,-1,0
C00378,27,65.18,0,month-to-month,43,-1,0
C00379,19,62.67,2,month-to-month,41,-1,0
C00380,1,101.84,0,two-year,36,13,1
C00381,67,103.49,3,month-to-month,63,-1,0
C00382,68,31.71,3,one-year,27,-1,0
C00383,18,114.88,2,two-year,56,1,1
C00384,3,46.7,2,month-to-month,39,21,1
C00385,9,84.61,3,one-year,41,-1,0
C00386,5,84.41,1,month-to-month,31,-1,0
C00387,60,45.09,1,one-year,68,-1,0
C00388,64,74.87,1,two-year,46,-1,0
C00389,11,62.85,0,month-to-month,75,18,1
C00390,54,76.09,2,two-year,69,-1,0
C00391,13,69.61,1,month-to-month,65,-1,0
C00392,27,88.93,2,one-year,45,-1,0
C00393,43,66.51,2,month-to-month,76,-1,0
C00394,52,61.64,2,month-to-month,54,-1,0
C00395,63,86.92,1,month-to-month,45,-1,0
C00396,4,76.61,0,two-year,39,-1,0
C00397,14,79.64,2,one-year,74,17,1
C00398,20,51.71,1,two-year,33,-1,0
C00399,23,,2,month-to-month,72,-1,0
C00400,71,53.65,2,month-to-month,32,-1,0
C00401,56,52.58,2,month-to-month,65,-1,0
C00402,23,,2,month-to-month,35,-1,0
C00403,69,84.52,0,month-to-month,69,-1,0
C00404,36,61.9,4,two-year,69,15,1
C00405,36,93.62,0,two-year,63,-1,0
C00406,31,92.37,3,month-to-month,79,27,1
C00407,11,69.87,0,month-to-month,49,25,1
C00408,67,48.56,1,one-year,70,-1,0
C00409,1,96.51,0,one-year,52,5,1
C00410,13,63.78,2,one-year,20,12,1
C00411,17,67.52,0,month-to-month,43,-1,0
C00412,20,58.21,0,month-to-month,20,3,1
C00413,10,47.2,2,month-to-month,59,20,1
C00414,2,35.63,1,two-year,27,-1,0
C00415,49,77.66,0,one-year,38,-1,0
C00416,69,49.33,1,two-year,72,-1,0
C00417,9,126.19,0,month-to-month,63,26,1
C00418,22,43.28,1,month-to-month,38,-1,0
C00419,36,39.85,1,month-to-month,49,21,1
C00420,66,75.2,0,two-year,54,-1,0
C00421,50,95.59,0,month-to-month,39,21,1
C00422,55,66.29,2,one-year,64,4,1
C00423,42,76.44,2,month-to-month,27,-1,0
C00424,30,28.13,0,month-to-month,44,-1,0
C00425,15,51.45,0,month-to-month,33,-1,0
C00426,62,43.53,0,month-to-month,60,-1,0
C00427,58,27.1,1,two-year,57,-1,0
C00428,2,67.34,3,two-year,68,25,1
C00429,51,20.14,3,one-year,40,-1,0
C00430,6,38.56,0,month-to-month,32,-1,0
C00431,53,54.26,1,one-year,20,-1,0
C00432,59,,1,month-to-month,71,-1,0
C00433,10,72.93,2,two-year,38,-1,0
C00434,31,71.11,1,one-year,64,-1,0
C00435,9,82.88,2,month-to-month,40,20,1
C00436,41,80.05,1,month-to-month,38,-1,0
C00437,66,87.82,2,month-to-month,32,-1,0
C00438,6,64.96,4,month-to-month,66,28,1
C00439,29,71.07,3,two-year,35,8,1
C00440,70,75.23,1,one-year,36,-1,0
C00441,22,67.83,0,month-to-month,61,-1,0
C00442,10,57.06,1,month-to-month,50,17,1
C00443,35,58.35,1,one-year,64,-1,0
C00444,37,48.65,1,month-to-month,24,21,1
C00445,48,73.43,1,month-to-month,77,-1,0
C00446,23,63.12,3,one-year,32,-1,0
C00447,68,51.74,0,month-to-month,25,-1,0
C00448,37,51.76,4,month-to-month,24,-1,0
C00449,21,40.79,3,month-to-month,37,13,1
C00450,69,84.58,1,month-to-month,44,5,1
C00451,66,66.57,2,two-year,22,-1,0
C00452,36,47.74,1,two-year,56,-1,0
C00453,2,81.17,1,two-year,56,22,1
C00454,43,53.79,3,two-year,66,-1,0
C00455,40,36.87,3,month-to-month,19,-1,0
C00456,11,85.42,1,month-to-month,23,1,1
C00457,46,54.26,1,one-year,30,-1,0
C00458,60,56.82,1,month-to-month,45,-1,0
C00459,8,65.82,0,two-year,54,7,1
C00460,52,87.85,2,month-to-month,30,-1,0
C00461,10,,8,month-to-month,40,12,1
C00462,54,41.02,4,one-year,49,-1,0
C00463,30,75.88,2,two-year,51,21,1
C00464,1,55.3,4,one-year,50,-1,0
C00465,69,102.76,1,one-year,57,-1,0
C00466,12,64.98,1,month-to-month,64,0,1
C00467,43,20.3,1,one-year,70,-1,0
C00468,13,72.15,0,one-year,77,-1,0
C00469,67,103.89,2,month-to-month,42,-1,0
C00470,53,96.52,1,one-year,38,19,1
C00471,58,101.62,0,month-to-month,35,-1,0
C00472,31,44.6,0,month-to-month,39,-1,0
C00473,34,83.24,4,two-year,51,-1,0
C00474,46,50.56,3,month-to-month,55,-1,0
C00475,56,69.49,0,one-year,22,-1,0
C00476,61,39.54,2,month-to-month,79,-1,0
C00477,2,52.11,2,two-year,20,-1,0
C00478,48,51.48,0,month-to-month,42,-1,0
C00479,8,82.97,0,month-to-month,46,19,1
C00480,21,81.01,2,two-year,39,-1,0
C00481,59,,0,one-year,31,24,1
C00482,18,37.99,1,month-to-month,50,-1,0
C00483,57,58.77,1,month-to-month,18,-1,0
C00484,33,50.08,3,month-to-month,64,24,1
C00485,17,82.39,1,two-year,60,3,1
C00486,24,88.56,2,one-year,65,-1,0
C00487,38,86.13,0,two-year,68,-1,0
C00488,55,49.9,3,two-year,73,-1,0
C00489,44,15.0,0,month-to-month,27,-1,0
C00490,67,29.66,1,one-year,69,-1,0
C00491,62,93.43,0,one-year,52,-1,0
C00492,54,56.97,2,two-year,25,-1,0
C00493,43,49.99,3,one-year,79,29,1
C00494,21,97.85,1,month-to-month,68,19,1
C00495,30,90.3,1,two-year,34,4,1
C00496,9,65.49,1,one-year,73,25,1
C00497,27,59.13,0,two-year,63,-1,0
C00498,66,62.36,4,month-to-month,45,-1,0
C00499,31,69.54,2,month-to-month,28,-1,0
C00500,9,97.0,1,one-year,63,20,1
C00501,47,73.45,2,one-year,75,-1,0
C00502,69,79.52,1,month-to-month,29,-1,0
C00503,62,88.39,1,month-to-month,18,4,1
C00504,20,41.61,3,one-year,32,-1,0
C00505,33,80.1,0,two-year,36,-1,0
C00506,38,59.11,1,month-to-month,41,19,1
C00507,18,15.0,3,month-to-month,78,-1,0
C00508,20,22.44,1,month-to-month,77,-1,0
C00509,17,44.64,1,month-to-month,59,18,1
C00510,71,75.62,3,month-to-month,31,-1,0
C00511,53,67.28,0,month-to-month,31,-1,0
C00512,60,68.69,2,one-year,23,-1,0
C00513,58,104.02,0,month-to-month,67,24,1
C00514,69,39.62,0,month-to-month,31,-1,0
C00515,8,,3,two-year,73,25,1
C00516,63,71.09,2,month-to-month,55,-1,0
C00517,5,50.27,1,one-year,48,15,1
C00518,34,65.57,2,month-to-month,75,14,1
C00519,43,33.0,2,two-year,27,-1,0
C00520,26,93.2,0,two-year,46,6,1
C00521,11,51.37,1,month-to-month,34,15,1
C00522,14,105.63,2,one-year,29,14,1
C00523,59,64.35,1,one-year,76,-1,0
C00524,23,85.56,1,month-to-month,55,24,1
C00525,23,63.93,3,one-year,27,13,1
C00526,66,64.39,1,month-to-month,24,-1,0
C00527,11,53.32,1,month-to-month,37,-1,0
C00528,65,,0,two-year,69,-1,0
C00529,66,71.36,3,month-to-month,27,-1,0
C00530,43,49.31,3,month-to-month,63,-1,0
C00531,12,62.5,1,month-to-month,24,-1,0
C00532,12,52.8,1,two-year,38,11,1
C00533,21,,2,month-to-month,50,-1,0
C00534,41,63.21,0,month-to-month,25,-1,0
C00535,11,95.9,1,one-year,42,-1,0
C00536,33,61.09,5,one-year,34,-1,0
C00537,9,70.19,1,month-to-month,20,-1,0
C00538,39,38.57,0,two-year,18,17,1
C00539,2,56.06,0,month-to-month,27,-1,0
C00540,51,69.21,1,one-year,64,-1,0
C00541,4,96.72,2,one-year,20,-1,0
C00542,14,69.44,3,month-to-month,49,-1,0
C00543,13,92.67,3,two-year,19,-1,0
C00544,60,77.81,2,one-year,31,-1,0
C00545,4,97.55,4,month-to-month,29,10,1
C00546,31,63.82,2,month-to-month,39,-1,0
C00547,42,112.8,0,month-to-month,64,-1,0
C00548,37,55.29,2,two-year,44,19,1
C00549,49,49.67,2,month-to-month,18,-1,0
C00550,58,40.8,2,two-year,26,-1,0
C00551,28,111.62,0,month-to-month,36,-1,0
C00552,59,81.39,0,two-year,35,-1,0
C00553,23,58.32,0,two-year,53,-1,0
C00554,70,89.98,1,month-to-month,39,-1,0
C00555,36,78.75,1,month-to-month,64,-1,0
C00556,53,104.32,1,two-year,33,8,1
C00557,63,34.04,2,month-to-month,60,-1,0
C00558,57,59.69,5,month-to-month,24,-1,0
C00559,61,55.75,1,two-year,79,-1,0
C00560,39,25.53,5,two-year,79,21,1
C00561,4,86.21,1,one-year,35,-1,0
C00562,36,59.59,2,two-year,32,-1,0
C00563,13,79.79,0,one-year,18,14,1
C00564,64,112.2,1,one-year,78,19,1
C00565,17,57.94,2,month-to-month,20,14,1
C00566,17,56.58,2,one-year,18,0,1
C00567,18,67.37,1,one-year,24,-1,0
C00568,46,84.74,1,one-year,36,-1,0
C00569,41,53.67,0,two-year,78,-1,0
C00570,68,52.38,0,month-to-month,28,-1,0
C00571,30,86.14,0,one-year,53,-1,0
C00572,21,72.57,1,month-to-month,58,-1,0
C00573,4,24.11,2,month-to-month,67,29,1
C00574,1,40.49,1,month-to-month,61,28,1
C00575,27,95.02,0,two-year,79,1,1
C00576,66,,0,month-to-month,59,12,1
C00577,38,49.76,2,one-year,70,-1,0
C00578,64,61.59,2,one-year,37,-1,0
C00579,8,65.26,2,two-year,43,-1,0
C00580,7,79.71,2,one-year,63,2,1
C00581,60,37.83,2,month-to-month,72,-1,0
C00582,8,48.18,2,month-to-month,18,8,1
C00583,4,70.46,1,one-year,44,29,1
C00584,29,63.0,1,month-to-month,67,-1,0
C00585,66,76.44,3,month-to-month,25,0,1
C00586,49,40.41,5,month-to-month,39,-1,0
C00587,8,72.14,1,month-to-month,51,-1,0
C00588,60,86.83,1,two-year,23,-1,0
